Id|Budget|Revenue|Title|CastSize|CrewSize|DirectorPopularity|CastPopularity|Release|Genre|Collection|AvgCastPopularity
5|4000000.0|4279177.0|Four Rooms|25.0|114.0|1.536|330.293|1995-12-09|Crime|False|13.21172
6|21000000.0|12136938.0|Judgment Night|15.0|16.0|3.991|117.763|1993-10-15|Action|False|7.850866666666667
11|11000000.0|775398007.0|Star Wars|105.0|54.0|13.868|333.016|1977-05-25|Adventure|True|3.1715809523809524
12|94000000.0|938215194.0|Finding Nemo|68.0|420.0|8.821|444.505|2003-05-30|Animation|True|6.536838235294118
13|55000000.0|678612988.0|Forrest Gump|76.0|169.0|13.83|398.848|1994-07-06|Comedy|False|5.248
14|15000000.0|356277324.0|American Beauty|40.0|145.0|8.47|254.789|1999-09-15|Drama|False|6.369725
15|839727.0|23218000.0|Citizen Kane|152.0|38.0|10.184|307.7|1941-04-17|Mystery|False|2.0243421052631576
16|12800000.0|40031879.0|Dancer in the Dark|29.0|61.0|10.025|184.809|2000-06-30|Drama|False|6.372724137931034
18|92500000.0|263907009.0|The Fifth Element|117.0|307.0|10.85|444.396|1997-05-02|Adventure|False|3.7982564102564105
19|1300000.0|650422.0|Metropolis|24.0|34.0|10.392|45.136|1927-02-06|Drama|False|1.8806666666666667
20|2500000.0|12300000.0|My Life Without Me|12.0|17.0|4.558|143.804|2003-03-07|Drama|False|11.983666666666666
22|140000000.0|655011224.0|Pirates of the Caribbean: The Curse of the Black Pearl|71.0|223.0|7.053|394.983|2003-07-09|Adventure|True|5.563140845070422
24|30000000.0|180899265.0|Kill Bill: Vol. 1|36.0|205.0|30.107|335.038|2003-10-10|Action|True|9.306611111111112
25|72000000.0|97011846.0|Jarhead|22.0|164.0|8.47|264.363|2005-11-04|Drama|True|12.0165
26|1400000.0|444.0|Walk on Water|7.0|7.0|0.84|26.628|2004-02-05|Drama|False|3.804
27|1000000.0|1574623.0|9 Songs|12.0|9.0|4.659|37.402|2004-05-16|Drama|False|3.1168333333333336
28|31500000.0|117954349.5|Apocalypse Now|37.0|52.0|12.975|282.094|1979-08-15|Drama|False|7.624162162162162
33|14400000.0|159157447.0|Unforgiven|33.0|64.0|39.524|322.425|1992-08-07|Western|False|9.770454545454546
