,roadwork_id,loaddatetimeutc,road,type,roadwork_from,roadwork_to,roadwork_label,roadwork_reason,roadwork_start,roadwork_stop,radar_codedirection,roadwork_fromloc_lat,roadwork_fromloc_lon,roadwork_toloc_lat,roadwork_toloc_lon,roadwork_segmentid,segmentstart,segmentend,roadwork_afrc,roadwork_category,roadwork_type
0,245069631.0,2020-07-13 16:48:00,A15,a,de Botlektunnel,de Botlektunnel,,De brug is versperd. Van 14 juli 2020 22:00 uur tot 15 juli 2020 05:00 uur.,2020-07-14 20:00:00,2020-07-15 03:00:00,0.0,51.87055,4.33089,51.87055,4.33089,3059.0,Rotterdam,Europoort,0.0,roadworks,a
1,244997097.0,2020-07-13 16:59:00,N7,n,Groningen-Helpman,Groningen-Helpman,closed,De afrit is dicht. Van 13 juli 2020 06:00 uur tot 13 juli 2020 19:00 uur.,2020-07-13 04:00:00,2020-07-13 17:00:00,1.0,53.20534,6.57403,53.20534,6.57403,3412.0,Groningen,Duitse grens,3.0,roadworks,n
2,245068994.0,2020-07-13 18:28:00,A10,a,afrit Haarlem,Amsterdam-Slotermeer,closed,Oprit dicht. Van 14 juli 2020 21:00 uur tot 15 juli 2020 05:00 uur.,2020-07-14 19:00:00,2020-07-15 03:00:00,0.0,52.38177,4.84478,52.37517,4.84282,3014.0,knp. Coenplein,knp. De Nieuwe Meer,0.0,roadworks,a
3,245068546.0,2020-07-13 18:28:00,A7,a,Sappemeer,Foxhol,closed,Oprit dicht. Van 14 juli 2020 20:00 uur tot 15 juli 2020 06:00 uur.,2020-07-14 18:00:00,2020-07-15 04:00:00,0.0,53.16719,6.80953,53.17849,6.73195,3404.0,Duitse grens,Groningen,0.0,roadworks,a
4,244997614.0,2020-07-13 22:59:00,N31,n,Leeuwarden,Leeuwarden,closed,De op- en afrit is dicht. Van 13 juli 2020 21:00 uur tot 14 juli 2020 01:00 uur.,2020-07-13 19:00:00,2020-07-13 23:00:00,0.0,53.18943,5.74664,53.18943,5.74664,3232.0,Drachten,Leeuwarden,3.0,roadworks,n
5,245070817.0,2020-07-13 23:58:00,N48,n,Dedemsvaart,Dedemsvaart,closed,De afrit is dicht. Van 13 juli 2020 20:00 uur tot 14 juli 2020 02:00 uur.,2020-07-13 18:00:00,2020-07-14 00:00:00,0.0,52.60263,6.4075,52.60263,6.4075,5390.0,Hoogeveen,Ommen,3.0,roadworks,n
6,244995832.0,2020-07-14 02:58:00,A12,a,knp. Prins Clausplein,knp. Prins Clausplein,,Wegwerkzaamheden. Van 13 juli 2020 23:00 uur tot 14 juli 2020 05:00 uur.,2020-07-13 21:00:00,2020-07-14 03:00:00,1.0,52.06208,4.37549,52.06208,4.37549,3020.0,Den Haag,Utrecht,0.0,roadworks,a
7,244995609.0,2020-07-14 02:58:00,A12,a,afrit Oosterbeek,afrit Oosterbeek,closed,De op- en afrit is dicht. Van 13 juli 2020 19:00 uur tot 14 juli 2020 05:00 uur.,2020-07-13 17:00:00,2020-07-14 03:00:00,0.0,52.02271,5.80201,52.02271,5.80201,3021.0,Arnhem,Utrecht,0.0,roadworks,a
8,244995613.0,2020-07-14 02:58:00,A12,a,Gouda,Gouda,closed,Oprit dicht. Van 13 juli 2020 21:00 uur tot 14 juli 2020 05:00 uur.,2020-07-13 19:00:00,2020-07-14 03:00:00,0.0,52.03015,4.68345,52.03015,4.68345,3020.0,Utrecht,Den Haag,0.0,roadworks,a
9,245069808.0,2020-07-14 02:58:00,A16,a,afrit Dordrecht-Centrum,afrit Dordrecht-Centrum,closed,Oprit dicht. Van 13 juli 2020 21:00 uur tot 14 juli 2020 05:00 uur.,2020-07-13 19:00:00,2020-07-14 03:00:00,1.0,51.80352,4.65023,51.80352,4.65023,3065.0,Breda,Rotterdam,0.0,roadworks,a
10,244996390.0,2020-07-14 02:58:00,A28,a,Hoogeveen,Hoogeveen,closed,De oprit is dicht. Van 13 juli 2020 20:00 uur tot 14 juli 2020 05:00 uur.,2020-07-13 18:00:00,2020-07-14 03:00:00,0.0,52.72184,6.46439,52.72184,6.46439,3197.0,Assen,Hoogeveen,0.0,roadworks,a
11,244995221.0,2020-07-14 02:58:00,A5,a,Westpoort,Westpoort,closed,De oprit is dicht. Van 13 juli 2020 23:00 uur tot 14 juli 2020 05:00 uur.,2020-07-13 21:00:00,2020-07-14 03:00:00,1.0,52.39339,4.79415,52.39339,4.79415,6338.0,Hoofddorp,Amsterdam,0.0,roadworks,a
12,244995118.0,2020-07-14 02:58:00,A4,a,Hoogerheide,knp. Markiezaat,closed,Dicht. Van 13 juli 2020 23:00 uur tot 14 juli 2020 05:00 uur.,2020-07-13 21:00:00,2020-07-14 03:00:00,0.0,51.44157,4.31172,51.43197,4.28125,3290.0,Rotterdam,Antwerpen,0.0,roadworks,a
13,244996734.0,2020-07-14 02:58:00,A29,a,afrit Oud-Beijerland,afrit Oud-Beijerland,closed,De oprit is dicht. Van 13 juli 2020 21:00 uur tot 14 juli 2020 05:00 uur.,2020-07-13 19:00:00,2020-07-14 03:00:00,0.0,51.81528,4.48713,51.81528,4.48713,3210.0,Rotterdam,Bergen op Zoom,0.0,roadworks,a
14,244996945.0,2020-07-14 02:58:00,A58,a,Zegge,Zegge,closed,De afrit is dicht. Van 13 juli 2020 23:00 uur tot 14 juli 2020 05:00 uur.,2020-07-13 21:00:00,2020-07-14 03:00:00,1.0,51.54496,4.51332,51.54496,4.51332,3352.0,Bergen op Zoom,Breda,0.0,roadworks,a
15,243596263.0,2020-07-14 02:58:00,A4,a,de Schipholtunnel,de Schipholtunnel,closed,Dicht. Van 13 juli 2020 21:00 uur tot 14 juli 2020 05:00 uur.,2020-07-13 19:00:00,2020-07-14 03:00:00,1.0,52.31683,4.75321,52.31683,4.75321,3300.0,Den Haag,Amsterdam,0.0,roadworks,a
16,242443878.0,2020-07-14 02:58:00,A29,a,knp. Sabina,Willemstad,closed,Dicht. Van 13 juli 2020 21:00 uur tot 14 juli 2020 05:00 uur.,2020-07-13 19:00:00,2020-07-14 03:00:00,1.0,51.6599,4.41906,51.68114,4.4183,3210.0,Bergen op Zoom,Rotterdam,0.0,roadworks,a
17,245067672.0,2020-07-14 02:58:00,A1,a,Naarden,Naarden,closed,Oprit dicht. Van 13 juli 2020 23:00 uur tot 14 juli 2020 05:00 uur.,2020-07-13 21:00:00,2020-07-14 03:00:00,0.0,52.28153,5.18393,52.28153,5.18393,3000.0,Amersfoort,Amsterdam,0.0,roadworks,a
18,244995105.0,2020-07-14 02:58:00,A1,a,Naarden-Vesting,Naarden-Vesting,closed,De oprit is dicht. Van 13 juli 2020 23:00 uur tot 14 juli 2020 05:00 uur.,2020-07-13 21:00:00,2020-07-14 03:00:00,0.0,52.3059,5.14391,52.3059,5.14391,3000.0,Amersfoort,Amsterdam,0.0,roadworks,a
19,244996272.0,2020-07-14 03:29:00,A20,a,Nieuwerkerk a/d IJssel,Nieuwerkerk a/d IJssel,closed,De oprit is dicht. Van 13 juli 2020 21:30 uur tot 14 juli 2020 05:30 uur.,2020-07-13 19:30:00,2020-07-14 03:30:00,0.0,51.98055,4.61948,51.98055,4.61948,3123.0,Gouda,Hoek van Holland,0.0,roadworks,a
20,2450726020.0,2020-07-14 03:59:00,N57,n,Stellendam,Stellendam,closed,De afrit is dicht. Van 13 juli 2020 20:00 uur tot 14 juli 2020 06:00 uur.,2020-07-13 18:00:00,2020-07-14 04:00:00,2.0,51.80622,4.00985,51.80622,4.00985,5411.0,Rotterdam,Brouwersdam,3.0,roadworks,n
21,245072602.0,2020-07-14 03:59:00,N57,n,Stellendam,Stellendam,closed,De afrit is dicht. Van 13 juli 2020 20:00 uur tot 14 juli 2020 06:00 uur.,2020-07-13 18:00:00,2020-07-14 04:00:00,2.0,51.80622,4.00985,51.80622,4.00985,5411.0,Brouwersdam,Rotterdam,3.0,roadworks,n
22,244997235.0,2020-07-14 03:59:00,N7,n,Groningen-West,Groningen-West,closed,Dicht. Van 13 juli 2020 21:00 uur tot 14 juli 2020 06:00 uur.,2020-07-13 19:00:00,2020-07-14 04:00:00,0.0,53.20207,6.55858,53.20207,6.55858,3412.0,Duitse grens,Groningen,3.0,roadworks,n
23,244996833.0,2020-07-14 03:59:00,A58,a,Roosendaal,Roosendaal,closed,De oprit is dicht. Van 13 juli 2020 21:00 uur tot 14 juli 2020 06:00 uur.,2020-07-13 19:00:00,2020-07-14 04:00:00,0.0,51.52525,4.4652,51.52525,4.4652,3352.0,Breda,Bergen op Zoom,0.0,roadworks,a
24,245070635.0,2020-07-14 21:58:00,N3,n,de aansluiting met de A15,de aansluiting met de A15,closed,De afrit is dicht. Van 14 juli 2020 21:00 uur tot 14 juli 2020 23:59 uur.,2020-07-14 19:00:00,2020-07-14 21:59:00,1.0,51.8392,4.71249,51.8392,4.71249,4440.0,Dordrecht,Papendrecht,3.0,roadworks,n
25,245211906.0,2020-07-15 01:58:00,A1,a,Diemen,Diemen,closed,Oprit dicht. Van 15 juli 2020 00:30 uur tot 15 juli 2020 04:00 uur.,2020-07-14 22:30:00,2020-07-15 02:00:00,1.0,52.33748,4.98946,52.33748,4.98946,3000.0,Amsterdam,Amersfoort,0.0,roadworks,a
26,245068993.0,2020-07-15 02:59:00,A7,a,afrit Zaandijk,afrit Zaandijk,closed,De afrit is dicht. Van 14 juli 2020 23:00 uur tot 15 juli 2020 05:00 uur.,2020-07-14 21:00:00,2020-07-15 03:00:00,0.0,52.47627,4.85456,52.47627,4.85456,3400.0,Hoorn,Zaanstad,0.0,roadworks,a
27,245070486.0,2020-07-15 02:59:00,A76,a,knp. Ten Esschen,de Duitse grens,closed,Dicht. Van 14 juli 2020 22:00 uur tot 15 juli 2020 05:00 uur.,2020-07-14 20:00:00,2020-07-15 03:00:00,1.0,50.90683,5.92285,50.81886,6.02472,3422.0,Geleen,Keulen,0.0,roadworks,a
28,245070150.0,2020-07-15 02:59:00,A29,a,afrit Numansdorp,afrit Numansdorp,closed,De afrit is dicht. Van 14 juli 2020 21:00 uur tot 15 juli 2020 05:00 uur.,2020-07-14 19:00:00,2020-07-15 03:00:00,1.0,51.74901,4.4148,51.74901,4.4148,3210.0,Bergen op Zoom,Rotterdam,0.0,roadworks,a
29,245214058.0,2020-07-15 02:59:00,A16,a,afrit Dordrecht-Centrum,afrit Dordrecht-Centrum,closed,Oprit dicht. Van 14 juli 2020 21:00 uur tot 15 juli 2020 05:00 uur.,2020-07-14 19:00:00,2020-07-15 03:00:00,1.0,51.80352,4.65023,51.80352,4.65023,3065.0,Breda,Rotterdam,0.0,roadworks,a
30,245069985.0,2020-07-15 02:59:00,A16,a,Zwijndrecht,Zwijndrecht,closed,De afrit is dicht. Van 14 juli 2020 21:00 uur tot 15 juli 2020 05:00 uur.,2020-07-14 19:00:00,2020-07-15 03:00:00,1.0,51.81513,4.63326,51.81513,4.63326,3065.0,Breda,Rotterdam,0.0,roadworks,a
31,244997998.0,2020-07-15 02:59:00,N50,n,Kampen-Zuid,Kampen-Zuid,closed,De op- en afrit is dicht. Van 13 juli 2020 tot 15 juli 2020 dagelijks tussen 20:00 uur en 05:00 uur.,2020-07-13 18:00:00,2020-07-15 03:00:00,1.0,52.52993,5.91514,52.52993,5.91514,3343.0,Zwolle,Emmeloord,3.0,roadworks,n
32,245072312.0,2020-07-15 02:59:00,N50,n,Kampen-Zuid,Kampen-Zuid,closed,De afrit is dicht. Van 13 juli 2020 20:00 uur tot 15 juli 2020 05:00 uur.,2020-07-13 18:00:00,2020-07-15 03:00:00,0.0,52.52993,5.91514,52.52993,5.91514,3343.0,Emmeloord,Zwolle,3.0,roadworks,n
33,245068286.0,2020-07-15 02:59:00,A5,a,afrit IJmuiden,afrit IJmuiden,closed,Oprit dicht. Van 14 juli 2020 23:00 uur tot 15 juli 2020 05:00 uur.,2020-07-14 21:00:00,2020-07-15 03:00:00,1.0,52.39304,4.77836,52.39304,4.77836,6338.0,Hoofddorp,Amsterdam,0.0,roadworks,a
34,245068134.0,2020-07-15 02:59:00,A4,a,Vlaardingen-Oost,Vlaardingen-Oost,closed,Oprit dicht. Van 14 juli 2020 21:00 uur tot 15 juli 2020 05:00 uur.,2020-07-14 19:00:00,2020-07-15 03:00:00,0.0,51.91096,4.36936,51.91096,4.36936,3301.0,Den Haag,Rotterdam,0.0,roadworks,a
35,244994966.0,2020-07-15 02:59:00,A1,a,afrit Markelo,afrit Markelo,closed,De oprit is dicht. Van 13 juli 2020 tot 15 juli 2020 dagelijks tussen 19:00 uur en 05:00 uur.,2020-07-13 17:00:00,2020-07-15 03:00:00,0.0,52.26259,6.45569,52.26259,6.45569,3002.0,Hengelo,Apeldoorn,0.0,roadworks,a
36,245067841.0,2020-07-15 02:59:00,A1,a,Twello,Twello,closed,Oprit dicht. Van 14 juli 2020 22:00 uur tot 15 juli 2020 05:00 uur.,2020-07-14 20:00:00,2020-07-15 03:00:00,1.0,52.21768,6.12511,52.21768,6.12511,3002.0,Apeldoorn,Hengelo,0.0,roadworks,a
