date,roadworks,weekday
2020-07-13,6,0
2020-07-14,19,1
2020-07-15,17,2
2020-07-16,12,3
2020-07-17,29,4
2020-07-18,14,5
2020-07-19,4,6
2020-07-20,11,0
2020-07-21,55,1
2020-07-22,0,2
2020-07-23,0,3
2020-07-24,0,4
2020-07-25,0,5
2020-07-26,0,6
2020-07-27,13,0
2020-07-28,6,1
2020-07-29,5,2
2020-07-30,14,3
2020-07-31,14,4
2020-08-01,1,5
2020-08-02,2,6
2020-08-03,3,0
2020-08-04,14,1
2020-08-05,3,2
2020-08-06,7,3
2020-08-07,8,4
2020-08-08,5,5
2020-08-09,1,6
2020-08-10,11,0
2020-08-11,11,1
2020-08-12,5,2
2020-08-13,9,3
2020-08-14,11,4
2020-08-15,10,5
2020-08-16,6,6
2020-08-17,13,0
2020-08-18,16,1
2020-08-19,22,2
2020-08-20,8,3
2020-08-21,15,4
2020-08-22,14,5
2020-08-23,8,6
2020-08-24,22,0
2020-08-25,19,1
2020-08-26,14,2
2020-08-27,17,3
2020-08-28,28,4
2020-08-29,19,5
2020-08-30,6,6
2020-08-31,8,0
2020-09-01,26,1
2020-09-02,22,2
2020-09-03,19,3
2020-09-04,27,4
2020-09-05,20,5
2020-09-06,3,6
2020-09-07,8,0
2020-09-08,25,1
2020-09-09,23,2
2020-09-10,15,3
2020-09-11,25,4
2020-09-12,19,5
2020-09-13,7,6
2020-09-14,21,0
2020-09-15,28,1
2020-09-16,21,2
2020-09-17,20,3
2020-09-18,16,4
2020-09-19,11,5
2020-09-20,2,6
2020-09-21,12,0
2020-09-22,13,1
2020-09-23,23,2
2020-09-24,21,3
2020-09-25,23,4
2020-09-26,23,5
2020-09-27,9,6
2020-09-28,12,0
2020-09-29,15,1
2020-09-30,23,2
2020-10-01,11,3
2020-10-02,22,4
2020-10-03,14,5
2020-10-04,7,6
2020-10-05,14,0
2020-10-06,19,1
2020-10-07,23,2
2020-10-08,18,3
2020-10-09,31,4
2020-10-10,19,5
2020-10-11,9,6
2020-10-12,11,0
2020-10-13,20,1
2020-10-14,15,2
2020-10-15,24,3
2020-10-16,19,4
2020-10-17,13,5
2020-10-18,5,6
2020-10-19,13,0
2020-10-20,33,1
2020-10-21,27,2
2020-10-22,21,3
2020-10-23,28,4
2020-10-24,12,5
2020-10-25,4,6
2020-10-26,13,0
2020-10-27,19,1
2020-10-28,21,2
2020-10-29,16,3
2020-10-30,15,4
2020-10-31,18,5
2020-11-01,4,6
2020-11-02,11,0
2020-11-03,24,1
2020-11-04,16,2
2020-11-05,9,3
2020-11-06,16,4
2020-11-07,12,5
2020-11-08,2,6
2020-11-09,18,0
2020-11-10,19,1
2020-11-11,35,2
2020-11-12,12,3
2020-11-13,29,4
2020-11-14,16,5
2020-11-15,6,6
2020-11-16,5,0
2020-11-17,17,1
2020-11-18,44,2
2020-11-19,0,3
2020-11-20,0,4
2020-11-21,0,5
2020-11-22,0,6
2020-11-23,0,0
2020-11-24,3,1
2020-11-25,16,2
2020-11-26,14,3
2020-11-27,20,4
2020-11-28,5,5
2020-11-29,0,6
2020-11-30,7,0
2020-12-01,16,1
2020-12-02,24,2
2020-12-03,26,3
2020-12-04,40,4
2020-12-05,20,5
2020-12-06,2,6
2020-12-07,3,0
2020-12-08,23,1
2020-12-09,48,2
2020-12-10,0,3
2020-12-11,0,4
2020-12-12,12,5
2020-12-13,0,6
2020-12-14,9,0
2020-12-15,19,1
2020-12-16,32,2
2020-12-17,17,3
2020-12-18,23,4
2020-12-19,6,5
2020-12-20,3,6
2020-12-21,7,0
2020-12-22,0,1
2020-12-23,0,2
2020-12-24,3,3
2020-12-25,0,4
2020-12-26,0,5
2020-12-27,0,6
2020-12-28,1,0
2020-12-29,3,1
2020-12-30,2,2
2020-12-31,1,3
2021-01-01,0,4
2021-01-02,0,5
2021-01-03,0,6
2021-01-04,0,0
2021-01-05,9,1
2021-01-06,4,2
2021-01-07,5,3
2021-01-08,3,4
2021-01-09,3,5
2021-01-10,1,6
2021-01-11,3,0
2021-01-12,13,1
2021-01-13,15,2
2021-01-14,14,3
2021-01-15,14,4
2021-01-16,9,5
2021-01-17,0,6
2021-01-18,2,0
2021-01-19,9,1
2021-01-20,22,2
2021-01-21,14,3
2021-01-22,12,4
2021-01-23,5,5
2021-01-24,4,6
2021-01-25,5,0
2021-01-26,14,1
2021-01-27,19,2
2021-01-28,11,3
2021-01-29,23,4
2021-01-30,14,5
2021-01-31,1,6
2021-02-01,8,0
2021-02-02,20,1
2021-02-03,33,2
2021-02-04,21,3
2021-02-05,25,4
2021-02-06,11,5
2021-02-07,1,6
2021-02-08,5,0
2021-02-09,18,1
2021-02-10,13,2
2021-02-11,8,3
2021-02-12,20,4
2021-02-13,8,5
2021-02-14,4,6
2021-02-15,2,0
2021-02-16,16,1
2021-02-17,15,2
2021-02-18,7,3
2021-02-19,19,4
2021-02-20,9,5
2021-02-21,12,6
2021-02-22,6,0
2021-02-23,16,1
2021-02-24,22,2
2021-02-25,33,3
2021-02-26,26,4
2021-02-27,21,5
2021-02-28,4,6
2021-03-01,11,0
2021-03-02,27,1
2021-03-03,39,2
2021-03-04,27,3
2021-03-05,34,4
2021-03-06,19,5
2021-03-07,3,6
2021-03-08,4,0
2021-03-09,19,1
2021-03-10,23,2
2021-03-11,20,3
2021-03-12,28,4
2021-03-13,17,5
2021-03-14,8,6
2021-03-15,10,0
2021-03-16,18,1
2021-03-17,19,2
2021-03-18,32,3
2021-03-19,23,4
2021-03-20,14,5
2021-03-21,2,6
2021-03-22,13,0
2021-03-23,14,1
2021-03-24,30,2
2021-03-25,23,3
2021-03-26,33,4
2021-03-27,20,5
2021-03-28,4,6
2021-03-29,19,0
2021-03-30,24,1
2021-03-31,27,2
2021-04-01,29,3
2021-04-02,23,4
2021-04-03,12,5
2021-04-04,0,6
2021-04-05,7,0
2021-04-06,6,1
2021-04-07,17,2
2021-04-08,15,3
2021-04-09,28,4
2021-04-10,8,5
2021-04-11,3,6
2021-04-12,18,0
2021-04-13,16,1
2021-04-14,26,2
2021-04-15,13,3
2021-04-16,20,4
2021-04-17,10,5
2021-04-18,4,6
2021-04-19,12,0
2021-04-20,3,1
2021-04-21,17,2
2021-04-22,23,3
2021-04-23,21,4
2021-04-24,7,5
2021-04-25,5,6
2021-04-26,13,0
2021-04-27,13,1
2021-04-28,6,2
2021-04-29,20,3
2021-04-30,27,4
2021-05-01,21,5
2021-05-02,2,6
2021-05-03,7,0
2021-05-04,13,1
2021-05-05,12,2
2021-05-06,21,3
2021-05-07,31,4
2021-05-08,17,5
2021-05-09,6,6
2021-05-10,17,0
2021-05-11,25,1
2021-05-12,15,2
2021-05-13,7,3
2021-05-14,1,4
2021-05-15,1,5
2021-05-16,4,6
2021-05-17,12,0
2021-05-18,17,1
2021-05-19,15,2
2021-05-20,20,3
2021-05-21,28,4
2021-05-22,10,5
2021-05-23,2,6
2021-05-24,0,0
2021-05-25,9,1
2021-05-26,22,2
2021-05-27,29,3
2021-05-28,19,4
2021-05-29,24,5
2021-05-30,3,6
2021-05-31,22,0
2021-06-01,22,1
2021-06-02,26,2
2021-06-03,27,3
2021-06-04,29,4
2021-06-05,19,5
2021-06-06,5,6
2021-06-07,12,0
2021-06-08,22,1
2021-06-09,15,2
2021-06-10,28,3
2021-06-11,22,4
2021-06-12,12,5
2021-06-13,3,6
2021-06-14,19,0
2021-06-15,9,1
2021-06-16,16,2
2021-06-17,17,3
2021-06-18,23,4
2021-06-19,11,5
2021-06-20,6,6
2021-06-21,15,0
2021-06-22,23,1
2021-06-23,16,2
2021-06-24,37,3
2021-06-25,30,4
2021-06-26,29,5
2021-06-27,6,6
2021-06-28,12,0
2021-06-29,23,1
2021-06-30,43,2
2021-07-01,64,3
2021-07-02,0,4
2021-07-03,0,5
2021-07-04,0,6
2021-07-05,0,0
2021-07-06,0,1
2021-07-07,0,2
2021-07-08,0,3
2021-07-09,0,4
2021-07-10,0,5
2021-07-11,0,6
2021-07-12,0,0
2021-07-13,0,1
2021-07-14,0,2
2021-07-15,0,3
2021-07-16,0,4
2021-07-17,0,5
2021-07-18,0,6
2021-07-19,0,0
2021-07-20,0,1
2021-07-21,0,2
2021-07-22,0,3
2021-07-23,0,4
2021-07-24,0,5
2021-07-25,0,6
2021-07-26,0,0
2021-07-27,0,1
2021-07-28,0,2
2021-07-29,0,3
2021-07-30,0,4
2021-07-31,0,5
2021-08-01,0,6
2021-08-02,0,0
2021-08-03,0,1
2021-08-04,0,2
2021-08-05,0,3
2021-08-06,0,4
2021-08-07,0,5
2021-08-08,0,6
