# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 370         5.377       51.451      22.60       Eindhoven   
# RHX       : Hoogste uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Maximum hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# RHXH      : Uurvak waarin RHX is gemeten / Hourly division in which RHX was measured
# STN,YYYYMMDD,  RHX, RHXH
  370,20180101,   21,   16
  370,20180102,   10,    5
  370,20180103,   37,    4
  370,20180104,    5,   15
  370,20180105,   10,    4
  370,20180106,    4,   14
  370,20180107,    0,    1
  370,20180108,    0,    1
  370,20180109,   -1,    1
  370,20180110,    9,    8
  370,20180111,    0,    1
  370,20180112,    0,    1
  370,20180113,    0,    1
  370,20180114,    0,    1
  370,20180115,   28,   21
  370,20180116,   24,   10
  370,20180117,   28,    1
  370,20180118,   20,    4
  370,20180119,   22,   23
  370,20180120,    6,   13
  370,20180121,   12,   22
  370,20180122,    4,    4
  370,20180123,   -1,    1
  370,20180124,    6,   23
  370,20180125,   33,   13
  370,20180126,    0,    1
  370,20180127,    3,   23
  370,20180128,    3,    3
  370,20180129,   16,   18
  370,20180130,    0,    1
  370,20180131,  105,   11
  370,20180201,   17,   12
  370,20180202,    8,   12
  370,20180203,    3,   11
  370,20180204,    2,   22
  370,20180205,    0,    1
  370,20180206,    0,    1
  370,20180207,    0,    1
  370,20180208,    0,    1
  370,20180209,    2,   19
  370,20180210,    4,   23
  370,20180211,   12,    3
  370,20180212,    0,    1
  370,20180213,    0,    1
  370,20180214,    0,    1
  370,20180215,   13,    3
  370,20180216,    0,    1
  370,20180217,    0,    1
  370,20180218,    0,    1
  370,20180219,    0,    1
  370,20180220,    0,    1
  370,20180221,    0,    1
  370,20180222,    0,    1
  370,20180223,    0,    1
  370,20180224,    0,    1
  370,20180225,    0,    1
  370,20180226,   -1,    1
  370,20180227,    0,    1
  370,20180228,    0,    1
  370,20180301,    0,    1
  370,20180302,    6,   23
  370,20180303,    4,    1
  370,20180304,   10,   20
  370,20180305,    0,    1
  370,20180306,    0,    1
  370,20180307,    8,   18
  370,20180308,   24,   14
  370,20180309,   17,   20
  370,20180310,   13,    1
  370,20180311,   14,    6
  370,20180312,    6,   22
  370,20180313,   17,    8
  370,20180314,   -1,    1
  370,20180315,   18,   18
  370,20180316,    8,   19
  370,20180317,    8,    8
  370,20180318,   -1,    1
  370,20180319,    0,    1
  370,20180320,    2,    5
  370,20180321,    0,    1
  370,20180322,   13,    6
  370,20180323,   -1,    1
  370,20180324,   -1,    1
  370,20180325,    0,    1
  370,20180326,   -1,    1
  370,20180327,   11,   16
  370,20180328,   21,   16
  370,20180329,   -1,    1
  370,20180330,   26,   20
  370,20180331,   15,   17
  370,20180401,   22,    2
  370,20180402,    3,   18
  370,20180403,    1,   11
  370,20180404,   15,   16
  370,20180405,   16,    7
  370,20180406,    0,    1
  370,20180407,    0,    1
  370,20180408,    0,    1
  370,20180409,   -1,    1
  370,20180410,  101,   21
  370,20180411,    1,   13
  370,20180412,   -1,    1
  370,20180413,    0,    1
  370,20180414,   46,   23
  370,20180415,    2,    1
  370,20180416,   -1,    1
  370,20180417,    0,    1
  370,20180418,    0,    1
  370,20180419,    0,    1
  370,20180420,    0,    1
  370,20180421,    0,    1
  370,20180422,   15,   24
  370,20180423,    0,    1
  370,20180424,   -1,    1
  370,20180425,   11,    7
  370,20180426,    2,    7
  370,20180427,   -1,    1
  370,20180428,   -1,    1
  370,20180429,   72,   24
  370,20180430,   33,    1
  370,20180501,   20,    2
  370,20180502,   -1,    1
  370,20180503,    0,    1
  370,20180504,    0,    1
  370,20180505,    0,    1
  370,20180506,    0,    1
  370,20180507,    0,    1
  370,20180508,    0,    1
  370,20180509,    2,   24
  370,20180510,   20,    2
  370,20180511,    0,    1
  370,20180512,    0,    1
  370,20180513,   15,   13
  370,20180514,    0,    1
  370,20180515,    0,    1
  370,20180516,    1,   11
  370,20180517,    0,    1
  370,20180518,    0,    1
  370,20180519,    0,    1
  370,20180520,    0,    1
  370,20180521,   -1,    1
  370,20180522,   53,   17
  370,20180523,    2,    8
  370,20180524,   12,   20
  370,20180525,    0,    1
  370,20180526,    0,    1
  370,20180527,  141,   14
  370,20180528,    0,    1
  370,20180529,   -1,    1
  370,20180530,   74,   13
  370,20180531,   57,    9
  370,20180601,   21,   12
  370,20180602,    0,    1
  370,20180603,    0,    1
  370,20180604,    0,    1
  370,20180605,    0,    1
  370,20180606,    0,    1
  370,20180607,   16,   17
  370,20180608,    5,    8
  370,20180609,    0,    1
  370,20180610,    0,    1
  370,20180611,    0,    1
  370,20180612,   -1,    1
  370,20180613,    2,    2
  370,20180614,    4,   14
  370,20180615,    0,    1
  370,20180616,   -1,    1
  370,20180617,   -1,    1
  370,20180618,   -1,    1
  370,20180619,   -1,    1
  370,20180620,    0,    1
  370,20180621,   -1,    1
  370,20180622,   -1,    1
  370,20180623,   -1,    1
